test today
Day1 一首你最近单曲循环的歌  
Day2 一首歌名里带有“风”的歌  
Day3 一首你第一次听就爱上的歌  
Day4 一首让你想起某个城市的歌  
Day5 一首前奏就很吸引人的歌  
Day6 一首歌词像在写你心情的歌  
Day7 一首适合深夜听的歌  
Day8 一首让你想起某个朋友的歌  
Day9 一首歌名里带有“星”或“月”的歌  
Day10 一首你觉得被低估的冷门好歌  
Day11 一首你希望更多人听到的歌  
Day12 一首你曾用来表白的歌（或想用来表白的）  
Day13 一首让你想起某部电影的歌  
Day14 一首你觉得很适合下雨天听的歌  
Day15 一首你曾经听哭过的歌  
Day16 一首让你想跑步或运动的歌  
Day17 一首歌名里带有“你”或“我”的歌  
Day18 一首你听过最多次的歌  
Day19 一首你觉得很有故事感的歌  
Day20 一首你曾在现场听过（或想去现场听的）歌  
Day21 一首你喜欢的翻唱版本胜过原唱的歌  
Day22 一首让你想起某段旅行或旅途的歌  
Day23 一首你觉得很适合作为闹钟铃声的歌  
Day24 一首你喜欢的来自你父母年代的歌  
Day25 一首你用来鼓励自己的歌  
Day26 一首让你想起某个季节的歌  
Day27 一首你觉得很适合作为电影片尾曲的歌  
Day28 一首你曾经用来做手机铃声的歌  
Day29 一首你最近发现的新人新歌  
Day30 一首你希望自己写的歌  
Day31 一首歌名里带有时间（如：昨天、今天、明天）的歌  
Day32 一首让你想起家人的歌  
Day33 一首你觉得很适合早晨听的歌  
Day34 一首你因为歌词而喜欢的歌  
Day35 一首歌名里带有动物名称的歌  
Day36 一首你觉得旋律很特别的歌  
Day37 一首你曾经在KTV唱过的歌  
Day38 一首让你想起学生时代的歌  
Day39 一首歌名里带有地名的歌  
Day40 一首你觉得很有画面感的歌  
Day41 一首你喜欢的来自90年代的歌  
Day42 一首你曾经用来做视频BGM的歌  
Day43 一首让你想学习的歌（或让你专注的歌）  
Day44 一首你觉得很适合秋天听的歌  
Day45 一首你喜欢的来自00年代的歌  
Day46 一首你因为封面而点进去听的歌  
Day47 一首歌名里带有“爱”字的歌  
Day48 一首你觉得很治愈的歌  
Day49 一首你喜欢的来自你出生年份的歌  
Day50 一首你曾经单曲循环一整天的歌  
Day51 一首你喜欢的来自10年代的歌  
Day52 一首你觉得很适合当睡前音乐的歌  
Day53 一首让你想起前任的歌  
Day54 一首歌名里带有“梦”字的歌  
Day55 一首你因为综艺或电视剧而喜欢的歌  
Day56 一首你觉得很有力量的歌  
Day57 一首你喜欢的来自你家乡的歌（或方言歌）  
Day58 一首你觉得很适合冬天听的歌  
Day59 一首你曾经在电台里听到的歌  
Day60 一首你希望能在演唱会上听到的歌  
Day61 一首歌名里带有“世界”的歌  
Day62 一首让你想起初恋的歌  
Day63 一首你觉得很有节奏感的歌  
Day64 一首你因为某句歌词而记住的歌  
Day65 一首歌名里带有“光”字的歌  
Day66 一首你觉得很浪漫的歌  
Day67 一首你曾经在洗澡时唱过的歌  
Day68 一首让你想起某个节日的歌  
Day69 一首歌名里带有“路”或“街”的歌  
Day70 一首你觉得很有异域风情的歌  
Day71 一首你喜欢的来自80年代的歌  
Day72 一首你曾经用来做闹钟的歌  
Day73 一首让你想读书或写作的歌  
Day74 一首你觉得很适合春天听的歌  
Day75 一首你喜欢的来自20年代的歌（2020年后）  
Day76 一首你因为歌名而点进去听的歌  
Day77 一首歌名里带有“心”字的歌  
Day78 一首你觉得很燃很炸的歌  
Day79 一首你喜欢的来自你父母年代的歌  
Day80 一首你曾经在走路/通勤时听的歌  
Day81 一首你喜欢的来自你青春期的歌  
Day82 一首你觉得很适合发呆时听的歌  
Day83 一首让你想起某个故人的歌  
Day84 一首歌名里带有“雨”字的歌  
Day85 一首你因为广告而喜欢的歌  
Day86 一首你觉得很温柔的歌  
Day87 一首你喜欢的来自你旅行地的歌  
Day88 一首你觉得很适合做婚礼背景音乐的歌  
Day89 一首你曾经在朋友推荐下听的歌  
Day90 一首你希望未来能在现场听到的歌
